area;ciudad;conglomerado;panelm;vivienda;hogar;c01;c02;c03;c04a;c18;c19;c20a;c21a;upm;id_vivienda;id_hogar;estrato;fexp;periodo
1;10150;013905;029;04;1;3;3;2;2;2;1;1;2;010150013905;01015001390502904;010150013905029041;2712;121,846099241104;202201
1;10150;013905;029;07;1;2;1;2;1;3;3;2;3;010150013905;01015001390502907;010150013905029071;2712;121,846099241104;202201
1;10150;013905;029;08;1;2;2;3;2;3;2;2;2;010150013905;01015001390502908;010150013905029081;2712;121,846099241104;202201
1;10150;013905;029;09;1;2;3;2;2;3;2;2;2;010150013905;01015001390502909;010150013905029091;2712;121,846099241104;202201
1;10150;014602;029;04;1;2;3;1;2;2;2;2;3;010150014602;01015001460202904;010150014602029041;2712;151,743354788907;202201
1;10150;014602;029;05;1;3;3;1;1;3;3;3;3;010150014602;01015001460202905;010150014602029051;2712;151,743354788907;202201
1;10150;014602;029;06;1;3;2;1;1;3;3;3;3;010150014602;01015001460202906;010150014602029061;2712;151,743354788907;202201
1;10150;014602;029;09;1;3;3;1;1;3;3;3;3;010150014602;01015001460202909;010150014602029091;2712;151,743354788907;202201
1;10150;014602;029;10;1;3;3;1;1;3;3;3;3;010150014602;01015001460202910;010150014602029101;2712;151,743354788907;202201
1;10150;014901;001;01;1;3;3;3;3;2;2;2;2;010150014901;01015001490100101;010150014901001011;2712;134,323479491436;202201
1;10150;014901;001;02;1;3;3;2;2;1;2;2;2;010150014901;01015001490100102;010150014901001021;2712;134,323479491436;202201
1;10150;014901;001;03;1;2;2;3;3;3;2;2;3;010150014901;01015001490100103;010150014901001031;2712;134,323479491436;202201
1;10150;014901;001;04;1;3;3;3;3;3;2;2;1;010150014901;01015001490100104;010150014901001041;2712;134,323479491436;202201
1;10150;014901;001;05;1;3;3;3;3;3;2;2;3;010150014901;01015001490100105;010150014901001051;2712;134,323479491436;202201
1;10150;014901;001;06;1;3;2;2;3;2;2;1;1;010150014901;01015001490100106;010150014901001061;2712;134,323479491436;202201
1;10150;014901;001;10;1;3;3;3;3;3;3;2;2;010150014901;01015001490100110;010150014901001101;2712;134,323479491436;202201
1;10150;015404;002;01;1;2;2;1;2;3;2;3;2;010150015404;01015001540400201;010150015404002011;2713;101,528295571294;202201
1;10150;015404;002;02;1;2;2;1;2;3;2;3;2;010150015404;01015001540400202;010150015404002021;2713;101,528295571294;202201
1;10150;015404;002;03;1;2;2;1;2;3;2;3;2;010150015404;01015001540400203;010150015404002031;2713;101,528295571294;202201
1;10150;015404;002;04;1;2;2;1;2;2;2;3;2;010150015404;01015001540400204;010150015404002041;2713;101,528295571294;202201
1;10150;015404;002;05;1;3;2;1;2;3;2;3;2;010150015404;01015001540400205;010150015404002051;2713;101,528295571294;202201
1;10150;015404;002;06;1;2;2;1;2;3;2;3;2;010150015404;01015001540400206;010150015404002061;2713;101,528295571294;202201
1;10150;015404;002;07;1;3;2;1;2;3;2;3;2;010150015404;01015001540400207;010150015404002071;2713;101,528295571294;202201
1;10150;015501;025;01;1;2;2;1;2;3;3;3;2;010150015501;01015001550102501;010150015501025011;2712;127,562986237543;202201
1;10150;015501;025;02;1;2;2;1;2;3;3;3;2;010150015501;01015001550102502;010150015501025021;2712;127,562986237543;202201
