CIUDAD,NOMBRE,coddom,DOMINIO,ZONA,SECTOR,VIVIENDA,HOGAR,RV00,RV32,RV33,RV34,RV35,RV37,RV38,RV39,RV310,fexph,fexpp
30450,LA TRONCAL,304,LA TRONCAL,4,8,20,1,1,1,3,2,1,30450,5,,1.0,8.713992487,8.713992487
30450,LA TRONCAL,304,LA TRONCAL,5,1,13,1,1,1,3,2,1,30450,5,,1.0,8.713992487,17.427984974
30450,LA TRONCAL,304,LA TRONCAL,5,6,14,1,1,1,1,2,1,30450,5,,1.0,8.713992487,43.569962435
30450,LA TRONCAL,304,LA TRONCAL,5,10,10,1,1,1,11,2,1,30450,5,,,9.092861726,18.185723452
30450,LA TRONCAL,304,LA TRONCAL,5,11,4,1,1,1,10,2,1,30450,5,,1.0,8.713992487,34.855969948
30450,LA TRONCAL,304,LA TRONCAL,6,6,18,1,1,1,9,2,1,30450,5,,1.0,8.713992487,26.141977461
30450,LA TRONCAL,304,LA TRONCAL,6,8,2,1,1,1,12,1,1,30450,5,,,9.092861726,36.371446904
30450,LA TRONCAL,304,LA TRONCAL,7,1,20,1,1,1,5,1,1,30450,5,,1.0,8.713992487,34.855969948
30450,LA TRONCAL,304,LA TRONCAL,7,6,24,1,1,1,9,2,1,30450,5,,1.0,8.713992487,8.713992487
30450,LA TRONCAL,304,LA TRONCAL,8,2,4,1,1,1,11,2,1,30450,5,,1.0,9.506173622,9.506173622
30450,LA TRONCAL,304,LA TRONCAL,8,3,11,1,1,1,6,2,1,30450,5,,1.0,8.713992487,17.427984974
30451,MANUEL J. CALLE,304,LA TRONCAL,1,1,18,1,1,1,8,1,1,30451,5,,1.0,8.713992487,17.427984974
30550,EL TAMBO,305,EL TAMBO,1,8,3,1,1,1,11,2,1,30550,5,,1.0,8.364071096,8.364071096
40150,TULCAN,401,TULCAN,1,2,12,1,1,1,8,2,1,40150,5,,1.0,9.376801633,18.753603266
40150,TULCAN,401,TULCAN,1,8,1,1,1,1,2,1,1,40150,5,,1.0,9.376801633,37.507206532
40150,TULCAN,401,TULCAN,2,4,8,1,1,1,6,1,1,40150,5,,,9.376801633,18.753603266
40150,TULCAN,401,TULCAN,2,4,12,1,1,1,9,2,1,40150,5,,1.0,9.376801633,9.376801633
40150,TULCAN,401,TULCAN,2,4,23,1,1,1,10,2,1,40150,5,,1.0,9.376801633,18.753603266
40150,TULCAN,401,TULCAN,2,4,24,1,1,1,7,1,1,40150,5,,1.0,9.376801633,37.507206532
40150,TULCAN,401,TULCAN,4,7,21,1,1,1,7,1,1,40150,5,,1.0,9.376801633,37.507206532
40150,TULCAN,401,TULCAN,4,9,2,1,1,1,8,1,1,170150,5,,,9.376801633,18.753603266
40150,TULCAN,401,TULCAN,6,7,24,1,1,1,8,1,1,40150,5,,1.0,9.376801633,37.507206532
40150,TULCAN,401,TULCAN,6,8,2,1,1,1,4,1,1,40150,5,,1.0,9.376801633,37.507206532
40150,TULCAN,401,TULCAN,6,8,18,1,1,1,1,2,1,40150,5,,1.0,9.376801633,28.130404899
40150,TULCAN,401,TULCAN,6,10,3,1,1,1,9,1,1,40150,5,,1.0,9.376801633,56.260809798
40150,TULCAN,401,TULCAN,6,10,6,1,1,1,9,1,1,40150,5,,1.0,9.376801633,18.753603266
