CIUDAD,NOMBRE,coddom,DOMINIO,ZONA,SECTOR,VIVIENDA,HOGAR,RV00,RV32,RV33,RV34,RV35,RV37,RV38,RV39,RV310,fexph,fexpp
10150,CUENCA,0101,CUENCA,77,3,15,1,1,1,6,2,2,10150,5, ,1,31.94547851,63.89095702
10150,CUENCA,0101,CUENCA,78,7,19,1,1,1,11,2,1,10150,5, ,1,31.94547851,95.83643553
10150,CUENCA,0101,CUENCA,78,9,12,1,1,1,1,1,1,10150,5, ,1,31.94547851,63.89095702
10150,CUENCA,0101,CUENCA,78,9,23,1,1,1,10,1,2,10150,5, ,1,31.94547851,95.83643553
10150,CUENCA,0101,CUENCA,79,6,22,1,1,1,4,2,1,10150,5, ,1,34.84961292,104.54883876
10150,CUENCA,0101,CUENCA,79,6,24,1,1,1,12,1,2,10150,5, ,1,34.84961292,69.69922584
10150,CUENCA,0101,CUENCA,80,1,14,1,1,3,1,2,1,10150,2,1,1,31.94547851,63.89095702
10150,CUENCA,0101,CUENCA,80,1,16,1,1,1,6,2,2,10150,2,1,1,31.94547851,127.78191404
10150,CUENCA,0101,CUENCA,80,4,21,1,1,1,10,2,1,10150,5, ,1,31.94547851,95.83643553
10151,BAÑOS,0101,CUENCA,1,4,23,1,1,4,9,2,2,10150,5, ,1,31.94547851,31.94547851
10151,BAÑOS,0101,CUENCA,1,10,11,1,1,1,1,2,1,10150,5, ,1,31.94547851,127.78191404
10152,CUMBE,0101,CUENCA,1,6,5,1,1,1,2,2,1,10150,5, ,1,33.33441235,66.6688247
10152,CUMBE,0101,CUENCA,1,6,7,1,1,1,3,2,1,10152,5, ,1,33.33441235,33.33441235
10152,CUMBE,0101,CUENCA,1,6,20,1,1,1,6,2,1,10152,5, ,1,33.33441235,166.67206175
10162,RICAURTE,0101,CUENCA,1,13,20,1,1,1,10,1,1,10150,5, ,1,31.94547851,63.89095702
10162,RICAURTE,0101,CUENCA,2,6,11,1,1,1,8,2,1,10150,5, ,1,33.33441235,66.6688247
10162,RICAURTE,0101,CUENCA,2,12,12,1,1,1,10,2,2,10150,5, ,1,33.33441235,133.3376494
10165,SAYAUSI,0101,CUENCA,1,1,11,1,1,2,2,2,1,10150,5, ,1,31.94547851,95.83643553
10165,SAYAUSI,0101,CUENCA,1,1,12,1,1,2,2,2,1,10150,5, ,1,31.94547851,63.89095702
10165,SAYAUSI,0101,CUENCA,1,1,23,1,1,1,5,2,2,10150,5, ,1,31.94547851,95.83643553
10250,GIRON,0102,GIRON,1,5,12,1,1,4,6,2,2,10150,1,2,1,7.962540343,7.962540343
10250,GIRON,0102,GIRON,1,11,15,1,1,1,8,2,2,10250,3,2,1,7.962540343,15.925080686
10350,GUALACEO,0103,GUALACEO,1,5,6,1,1,1,9,1,2,10350,5, , ,9.319278947,27.957836841
10350,GUALACEO,0103,GUALACEO,1,5,6,1,2,1,9,2,2,10350,5, ,1,9.319278947,27.957836841
10350,GUALACEO,0103,GUALACEO,1,5,9,1,1,1,10,2,2,10350,5, ,1,9.319278947,27.957836841
10350,GUALACEO,0103,GUALACEO,1,5,14,1,1,1,3,2,2,10350,2,1,1,9.319278947,18.638557894
10350,GUALACEO,0103,GUALACEO,1,6,6,1,1,1,5,2,1,10350,5, , ,8.542672368,17.085344736
10350,GUALACEO,0103,GUALACEO,1,6,6,1,2,1,6,2,1,10350,5, , ,8.542672368,17.085344736
10350,GUALACEO,0103,GUALACEO,1,6,6,1,3,1,8,2,1,10350,5, ,1,8.542672368,17.085344736
10350,GUALACEO,0103,GUALACEO,2,1,9,1,1,1,9,2,1,10350,3,1,1,8.542672368,25.628017104
10350,GUALACEO,0103,GUALACEO,2,6,2,1,1,1,6,2,2,10350,5, ,1,9.763054135,39.05221654
10350,GUALACEO,0103,GUALACEO,2,6,17,1,1,1,8,2,1,10350,5, ,1,9.763054135,19.52610827
10350,GUALACEO,0103,GUALACEO,2,10,23,1,1,1,2,2,2,10350,5, , ,8.914092906,17.828185812
10350,GUALACEO,0103,GUALACEO,2,10,23,1,2,1,8,2,2,10350,5, ,1,8.914092906,17.828185812
10350,GUALACEO,0103,GUALACEO,2,10,24,1,1,1,9,2,2,10350,5, ,1,8.914092906,17.828185812
10350,GUALACEO,0103,GUALACEO,3,5,18,1,1,1,1,1,1,10350,5, ,1,8.914092906,35.656371624
10350,GUALACEO,0103,GUALACEO,3,5,20,1,1,1,7,2,2,10350,1,2,1,8.914092906,26.742278718
10350,GUALACEO,0103,GUALACEO,3,7,24,1,1,1,6,2,2,10350,5, ,1,8.542672368,17.085344736
10350,GUALACEO,0103,GUALACEO,4,1,5,1,1,1,7,2,1,10350,5, ,1,8.542672368,17.085344736
10350,GUALACEO,0103,GUALACEO,4,1,17,1,1,1,8,2,2,10350,5, ,1,8.542672368,51.256034208
10350,GUALACEO,0103,GUALACEO,4,3,2,1,1,1,12,2,2,10350,5, ,1,8.542672368,17.085344736
