Agente;TipodeCentral;Central;Unidad;Julio;Agosto;Septiembre
CELEC E.P. SUR;H;C. H. SOPLADORA;SOPLADORA U3;100,77;94,11;63,89
CELEC EP COCA CODO SINCLAIR;H;C. H. COCA CODO SINCLAIR;COCA CODO SINCLAIR U1;100,11;79,49;74,39
CELEC EP COCA CODO SINCLAIR;H;C. H. COCA CODO SINCLAIR;COCA CODO SINCLAIR U2;49,98;63,40;63,72
CELEC EP COCA CODO SINCLAIR;H;C. H. COCA CODO SINCLAIR;COCA CODO SINCLAIR U3;91,62;76,23;No hubo producci�n en este periodo
CELEC EP COCA CODO SINCLAIR;H;C. H. COCA CODO SINCLAIR;COCA CODO SINCLAIR U4;92,78;82,67;79,57
CELEC EP COCA CODO SINCLAIR;H;C. H. COCA CODO SINCLAIR;COCA CODO SINCLAIR U5;102,25;75,79;66,90
CELEC EP COCA CODO SINCLAIR;H;C. H. COCA CODO SINCLAIR;COCA CODO SINCLAIR U6;95,82;52,95;64,03
CELEC EP COCA CODO SINCLAIR;H;C. H. COCA CODO SINCLAIR;COCA CODO SINCLAIR U7;98,18;67,56;52,39
CELEC EP COCA CODO SINCLAIR;H;C. H. COCA CODO SINCLAIR;COCA CODO SINCLAIR U8;90,34;79,01;42,79
CELEC EP COCA CODO SINCLAIR;H;C. H. MANDURIACU;MANDURIACU U1;11,99;14,65;11,41
CELEC EP COCA CODO SINCLAIR;H;C. H. MANDURIACU;MANDURIACU U2;13,40;2,19;2,71
CELEC EP GENSUR;ELCA;C. E. VILLONACO;VILLONACO AG U1;10,35;9,51;8,82
CELEC EP GENSUR;H;C. H. DELSITANISAGUA;DELSITANISAGUA U1;19,55;7,91;2,73
CELEC EP GENSUR;H;C. H. DELSITANISAGUA;DELSITANISAGUA U2;36,93;29,71;21,23
CELEC EP GENSUR;H;C. H. DELSITANISAGUA;DELSITANISAGUA U3;36,49;25,29;19,64
CELEC EP HIDROAZOGUES;H;C. H. ALAZ�N;ALAZ�N U1;0,06;2,56;2,29
CELEC EP TERMOMANABI;T;C. T. JARAMIJ�;JARAMIJO MC U1;50,58;64,56;59,32
CELEC EP TERMOMANABI;T;C. T. MANTA 2;MANTA 2 MC U1;6,06;7,44;8,34
CELEC EP TERMOMANABI;T;C. T. MIRAFLORES;MIRAFLORES TG U1;No hubo producci�n en este periodo;No hubo producci�n en este periodo;No hubo producci�n en este periodo
CELEC EP TERMOMANABI;T;C. T. MIRAFLORES;MIRAFLORES U11;No hubo producci�n en este periodo;No hubo producci�n en este periodo;No hubo producci�n en este periodo
CELEC EP TERMOMANABI;T;C. T. MIRAFLORES;MIRAFLORES U12;No hubo producci�n en este periodo;No hubo producci�n en este periodo;No hubo producci�n en este periodo
CELEC EP TERMOMANABI;T;C. T. MIRAFLORES;MIRAFLORES U13;0,01;0,02;No hubo producci�n en este periodo
CELEC EP TERMOMANABI;T;C. T. MIRAFLORES;MIRAFLORES U14;No hubo producci�n en este periodo;No hubo producci�n en este periodo;No hubo producci�n en este periodo
CELEC EP TERMOMANABI;T;C. T. MIRAFLORES;MIRAFLORES U16;0,27;1,24;1,06
CELEC EP TERMOMANABI;T;C. T. MIRAFLORES;MIRAFLORES U18;0,26;0,95;0,94
CELEC EP TERMOMANABI;T;C. T. MIRAFLORES;MIRAFLORES U22;0,29;1,31;1,17
CELEC EP TERMOMANABI;T;C. T. MIRAFLORES;MIRAFLORES U8;0,37;1,28;1,15
CELEC EP TERMOMANABI;T;C. T. PEDERNALES;PEDERNALES U10;0,03;No hubo producci�n en este periodo;1,18
CELEC EP TERMOMANABI;T;C. T. PEDERNALES;PEDERNALES U15;0,36;1,11;1,24
CELEC HIDROTOAPI;H;C.H. SARAPULLO;SARAPULLO U1;7,26;6,48;0,13
CELEC HIDROTOAPI;H;C.H. SARAPULLO;SARAPULLO U2;2,05;0,01;1,13
CELEC HIDROTOAPI;H;C.H. SARAPULLO;SARAPULLO U3;4,28;No hubo producci�n en este periodo;0,71
ELECTROGUAYAS;T;C. T. ENRIQUE GARC�A;E. GARC�A U1;No hubo producci�n en este periodo;No hubo producci�n en este periodo;No hubo producci�n en este periodo
ELECTROGUAYAS;T;C. T. GONZALO ZEVALLOS DIESEL;G. ZEVALLOSTG TG4;No hubo producci�n en este periodo;No hubo producci�n en este periodo;No hubo producci�n en este periodo
ELECTROGUAYAS;T;C. T. GONZALO ZEVALLOS FOIL;G. ZEVALLOSVA TV2;31,30;44,23;42,47
ELECTROGUAYAS;T;C. T. GONZALO ZEVALLOS FOIL;G. ZEVALLOSVA TV3;42,85;42,15;43,76
ELECTROGUAYAS;T;C. T. SANTA ELENA 2;SANTA ELENA 2 MC U1;34,52;31,24;47,18
ELECTROGUAYAS;T;C. T. SANTA ELENA 3;SANTA ELENA 3 MC U1;6,53;8,22;6,76
ELECTROGUAYAS;T;C. T. SANTA ELENA 3;SANTA ELENA 3 MC U2;6,45;0,44;6,89
ELECTROGUAYAS;T;C. T. SANTA ELENA 3;SANTA ELENA 3 MC U3;5,74;8,28;2,65
ELECTROGUAYAS;T;C. T. TRINITARIA;TRINITARIA U1;No hubo producci�n en este periodo;No hubo producci�n en este periodo;16,06
HIDRO AGOY�N;H;C. H. AGOY�N;AGOY_U_1_GEN.HIDR;41,43;39,57;30,58
HIDRO AGOY�N;H;C. H. AGOY�N;AGOY_U_2_GEN.HIDR;48,98;29,56;21,37
